"Title:","Dairy Products from the Food Availability Database"
"SubTitle:","USA - Category: All Dairy Products - Per capita food availability - Indicator: Fluid Milk and Cream"
"Time:","1921 - 2017"
"Unit of Measure:","Pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Food Availability: Dairy Products | All Dairy Products - Per capita food availability | Fluid Milk and Cream, 1921 - 2017. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-009 doi:https://doi.org/10.6068/DP1849B08335769"
"ColumnCount:",2
"RowCount:",97

"Time","All Dairy Products - Per capita food availability, Fluid Milk and Cream (Pounds)"
"1921",298.6
"1922",300.6
"1923",292.2
"1924",293.9
"1925",301.7
"1926",301.2
"1927",298.1
"1928",298.4
"1929",300.3
"1930",298.1
"1931",298.1
"1932",303.9
"1933",302.6
"1934",292.4
"1935",296.6
"1936",299.4
"1937",301.5
"1938",300.9
"1939",305.9
"1940",306.1
"1941",309.5
"1942",332.6
"1943",367.5
"1944",388.5
"1945",397.7
"1946",374.8
"1947",355.9
"1948",339.5
"1949",334.5
"1950",331.5
"1951",333.6
"1952",333.5
"1953",328.3
"1954",320.9
"1955",321.1
"1956",321.6
"1957",318
"1958",311.5
"1959",305.1
"1960",300.3
"1961",292.9
"1962",291.2
"1963",292
"1964",291.5
"1965",290.7
"1966",291
"1967",276.6
"1968",275.8
"1969",273.7
"1970",275.3
"1971",275.7
"1972",273.6
"1973",269
"1974",260.4
"1975",261.4
"1976",260.2
"1977",257.5
"1978",253.9
"1979",250.6
"1980",245.5
"1981",241.7
"1982",235.6
"1983",235.9
"1984",237.6
"1985",240.8
"1986",240.3
"1987",237.3
"1988",237.1
"1989",236.1
"1990",233
"1991",231.3
"1992",228.6
"1993",223.6
"1994",222.4
"1995",220.7
"1996",219.8
"1997",216.4
"1998",213.3
"1999",213.1
"2000",210.5
"2001",207.9
"2002",203.9
"2003",201.4
"2004",199.2
"2005",199.4
"2006",198.7
"2007",197
"2008",194.8
"2009",195.1
"2010",195.4
"2011",192.2
"2012",188.6
"2013",184.6
"2014",178.6
"2015",174.7
"2016",172
"2017",167.8



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
